time,task,metric,features,preproc,algo,params,train_score,test_score
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 3, ""gb__n_estimators"": 50}",-0.302870364126749,-0.30708891216004114
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 3, ""gb__n_estimators"": 100}",-0.24182420248887904,-0.24857490925558495
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 3, ""gb__n_estimators"": 300}",-0.1551701684646675,-0.1721460554060938
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 5, ""gb__n_estimators"": 20}",-0.3484812219088379,-0.3513565264619011
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 5, ""gb__n_estimators"": 50}",-0.28449693273167087,-0.29261237291086145
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 5, ""gb__n_estimators"": 100}",-0.21503528108921977,-0.23159271223328667
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 5, ""gb__n_estimators"": 300}",-0.12470528546771169,-0.1666077757028543
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 10, ""gb__n_estimators"": 20}",-0.33898424379875347,-0.3482878899308863
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 10, ""gb__n_estimators"": 50}",-0.2627529681476407,-0.2872865434967772
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 10, ""gb__n_estimators"": 100}",-0.17597761733186773,-0.22871227381108367
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 10, ""gb__n_estimators"": 300}",-0.044583294129707726,-0.18290838735830867
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 3, ""gb__n_estimators"": 20}",-0.1773677393639273,-0.19055307578075859
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 3, ""gb__n_estimators"": 50}",-0.13922695977928173,-0.16248682848863144
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 3, ""gb__n_estimators"": 100}",-0.12788985094951605,-0.16164234012808018
